# f /Hz	ReZ /Ohms	ImZ /Ohms	d_ReZ /Ohms	d_ImZ /Ohms	d_ReZ /%	d_ImZ /%
1.000000000000000021e-03	1.089714868244434911e+03	-1.227214414308863430e-06	1.098125254318149615e+02	2.037176856454336997e-07	1.100000000000000000e+01	1.700000000000000000e+01
1.261363722037443661e-03	1.095413785537618196e+03	-1.506062556467009692e-06	1.440501098396950113e+02	1.874141858738512504e-07	1.400000000000000000e+01	1.300000000000000000e+01
1.591038439272153288e-03	1.090927176582503535e+03	-1.872367778935841033e-06	1.823467073629672655e+02	2.764590731602096324e-08	1.700000000000000000e+01	2.000000000000000000e+00
2.006878167664966680e-03	1.099966302647162820e+03	-2.249914058237361301e-06	8.971773776692226932e+01	4.895993592837945186e-07	9.000000000000000000e+00	2.200000000000000000e+01
2.531403315241567004e-03	1.096369454446532700e+03	-2.731330794813454982e-06	1.705806290498892395e+02	6.499966656790063029e-08	1.600000000000000000e+01	3.000000000000000000e+00
3.193020307691027144e-03	1.088174964473659884e+03	-3.363331150394065744e-06	5.225949954506879180e+01	3.786658316581647764e-07	5.000000000000000000e+00	1.200000000000000000e+01
4.027559979850297255e-03	1.097610134485857998e+03	-4.137260989938665837e-06	1.014927170218577430e+02	4.287136346894035891e-07	1.000000000000000000e+01	1.100000000000000000e+01
5.080218046913023006e-03	1.107773475285214090e+03	-4.955673585658206479e-06	1.405138996311949882e+02	7.134948399244225848e-07	1.300000000000000000e+01	1.500000000000000000e+01
6.408002744415996176e-03	1.101490844336523878e+03	-6.248961369942049460e-06	2.096920896468336366e+02	3.543810106562614194e-07	2.000000000000000000e+01	6.000000000000000000e+00
8.082822192522714708e-03	1.106275234006406208e+03	-7.430100715555061081e-06	1.219153584480788197e+02	1.124700310450462569e-06	1.200000000000000000e+01	1.600000000000000000e+01
1.019537868532730158e-02	1.088788341735692711e+03	-9.018651959811270846e-06	8.872729401268944116e+01	1.354048776186314199e-06	9.000000000000000000e+00	1.600000000000000000e+01
1.286008080610566429e-02	1.097584097619997237e+03	-1.115680640978856937e-05	2.145862573644934628e+02	9.760642505615449174e-07	2.000000000000000000e+01	9.000000000000000000e+00
1.622123939129173006e-02	1.103145313572331133e+03	-1.371441430587133268e-05	5.524142344801571625e+01	8.091554990527353767e-07	6.000000000000000000e+00	6.000000000000000000e+00
